category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Math,Short Answer,"What is the trace of the row reduced echelon form of the 4 by 4 matrix with [READ CAREFULLY] first row [ -2, -3, 4, 1 ], second row [ 2, 4, 1, 2 ], third row [ -3, -3, 1, 4 ], and fourth row [ 1, 1, -2, 2 ]? ",4,Multiple Choice,"Which of the following points remains fixed when multiplied by the matrix with first row [ 3, 1 ] and second row [ 2, 2 ]? W) (2, -4) X) (1, 1) Y) (-1, 3) Z) (-3, -2)",,ESBOT
Energy,Short Answer,Researchers at Lawrence Berkeley National Laboratory are studying charge parity violation via the decay of quarks and leptons. Charge parity violation implies that what other fundamental symmetry is violated? ,Time reversal symmetry (DO NOT ACCEPT: time symmetry),Multiple Choice,Researchers at the NIH are studying the effects of fluoride poisoning. Which of the following correctly describes the effect of fluoride on the function of the thyroid gland? W) Fluoride binds to T3 and T4 receptors blocking their function X) Fluoride replaces iodine T4 inhibiting the production of T3 Y) Fluoride can act as a substitute for iodine in T3 and T4 allowing for greater production of the hormones Z) Fluoride binds to receptors on the thyroid gland inhibiting its function,,ESBOT
Chemistry,Short Answer,Identify all of the following 3 compounds that are conjugated but not aromatic? I) Buckminsterfullerene II) Naphthalene III) Annulene ,I and III,Short Answer,Oxidized buckminsterfullerene has the formula C60O and takes the form of a ketone. How many different structural isomers of C60O ketones are there?,,ESBOT
Biology,Short Answer,Lipid rafts are most abundant with that type of membrane lipid? ,Sphingolipids,Short Answer,"There is a moat full of alligators that surrounds Enloe. The alligators at the front of the school formed the original species that was introduced. Over time they spread down the flanks, each side of the school evolving separately. The alligators were able to mate with the species directly next to them, except for at the end where the 2 flanks met. What is the name of such a group of populations? Answer: Ring Species",,ESBOT
Earth and Space,Short Answer,Order the following 4 feldspars from lowest to highest melting point: 1) Anorthite 2) Labradorite 3) Albite 4) Orthoclase ,"4, 3, 2, 1",Multiple Choice,Which of the following best explains the reasoning for the low seismic wave velocities in the Low Velocity Zone? W) Partial melting in the zone yields a lower bulk modulus. X) Partial melting in the zone yields a higher bulk modulus Y) Partial melting in the zone yields a lower density Z) Partial melting in the zone yields a higher density,,ESBOT
Math,Short Answer,"What is the smallest positive integer greater than 1 that is relatively prime to 2, 20, 202, and 2022? ",7,Short Answer,"A right octagonal prism has all sides of length 3. Giving your answer in exact form, what is its volume?",,ESBOT
Biology,Short Answer,"In Hoogsteen-like base pairing, how many guanines join together to form a single compex? ",4,Multiple Choice,In paramecium the codons UAA and UGA no longer code for termination. What amino acid do they code for instead. ? W) Glutamine X) Glycine Y) Asparagine Z) Lysine,,ESBOT
Earth and Space,Short Answer,"What is the name for the present cosmological era in which stars, galaxies, and other celestial bodies contain the most amount of matter and produce the most energy? ",Stelliferous Era,Multiple Choice,The galaxy EGSY8p7 has a redshift of 8.7. Which of the following is closest to its velocity in kilometers per second with respect to the Earth? W) 2.6 * 106 km/s X) 6.1 * 106 km/s Y) 2.6 * 109 km/s Z) 6.1 * 109 km/s,,ESBOT
Physics,Short Answer,"A 5 kg mass is hanging from two springs connected in parallel. The first spring has a spring constant of 20 Newtons per meter and a mass of 6 kilograms, while the second spring has a spring constant of 60 Newtons per meter and a mass of 3 kilograms. To the nearest tenth, what is the angular frequency of the mass’s oscillations? ",3.2,Short Answer,"An ideal gas begins at a pressure of 20 Pascals and a volume of 4 m3. If the gas undergoes isothermal expansion to a volume of 11 m3, then to one significant figure, what is the change in entropy in Joules per Kelvin during expansion if the gas ends at a temperature of 300 Kelvin?",,ESBOT
Math,Short Answer,Let x be a real number such that 5x plus the floor of x equals 14. What is x? ,2.4,Short Answer,What is the sum from k=1 to 99 of the floor of the square root of k?,,ESBOT
