category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Chemistry,Short Answer,How many electrons are in the 3d subshell for the ground state electron configuration of copper? 1,10 ,Short Answer,What is the ratio of the rate of effusion of sulfur dioxide at 150 kelvin to the rate of effusion of methane at 600 kelvin?,¼,LOST
Physics,Short Answer,A transformer has a primary winding of 90 turns and a secondary winding of 18 turns. The transformer is then connected to a voltage source of 100 volts. How many volts are passed through the secondary winding?,20 ,Short Answer,What is the moment of inertia of a solid 5 kilogram disk with radius 2 meters about an axis at the disk edge parallel to its central axis?,30,LOST
Biology,Short Answer,Named for its weight in kilodaltons. which tumor suppressor gene often considered the guardian angel of the genome is crucial to the prevention of cancer ?,P53 ,Short Answer,"By name or number, give the respective epithelial cell types to the following three organs. Give both the layering and shape: 1) Inner portion of the mouth; 2) Villi of the Small intestine; 3) Kidney tubules. ","STRATIFIED SQUAMOUS, SIMPLE COLUMNAR, SIMPLE CUBOIDAL",LOST
Energy,Multiple Choice,"Scientists at Argonne National Laboratory have discovered a technique to significantly improve the accuracy of the measurement of inorganic isotopes. What specific type of spectroscopy did the scientists build upon, which measures the mass to charge ratio of various fragments produced during the experiment? W) Mass spectrometry X) Nuclear magnetic resonance spectroscopy Y) Infrared spectroscopy Z) Electron paramagnetic resonance spectroscopy",W) MASS SPECTROMETRY ,Short Answer,"Scientists at Brookhaven national laboratory used X-ray diffraction to probe the source of thermodynamic instability in CsPbI3, and discovered that it is due to distortions of cesium within the crystal structure. CsPbI3 belongs to what general group of minerals and unit cells with general formula ABX3?",PEROVSKITES,LOST
Earth and Space,Short Answer,What is the main nucleosynthesis pathway by which stars greater than 1.3 solar masses fuse hydrogen?,CNO CYCLE ,Multiple Choice,Which of the following phenomena is NOT an indicator of star formation? W) Bok globules X) Star-formation pillars  Y) Herbig-Haro objects Z) Apollo-Amor objects,Z) APOLLO-AMOR OBJECTS,LOST
Math,Short Answer,What is the limit as x approaches 0 of the function f of x equals the fraction with numerator 2x+5 and denominator 3x2?,INFINITY ,Short Answer,"A circle has equation x2 + y2 - 6x + 4y - 1 = 0. What are the coordinates of the center of the circle and the radius of the circle, respectively?","(3, -2); sqrt(14)",LOST
Chemistry,Multiple Choice,Which of the following elements has the highest first ionization energy? W) Carbon X) Silicon Y) Nitrogen Z) Phosphorous,Y) NITROGEN ,Short Answer,What functional group is produced by the transition metal catalyzed addition of hydrogen to an alkene?,ALKANE,LOST
Physics,Short Answer,Identify all of the following three particles that are fermionic: 1) Electron; 2) Photon; 3) Gluon.,1 ONLY ,Short Answer,"A heat engine operates between a cold reservoir with a temperature of 150 kelvin and a hot reservoir. When the temperature of the hot reservoir is doubled, the efficiency of the engine increases by 50%. What is the initial temperature of the hot reservoir in kelvin?",300,LOST
Biology,Multiple Choice,Judson uses restriction fragment length polymorphism analysis to run a paternity test in a court case involving a mother and her two children David and Gideon. RFLP involves which of the following processes? W) Mass spectrometry X) Shotgun sequencing Y) Reverse transcription Z) Gel electrophoresis,Z) GEL ELECTROPHORESIS ,Short Answer,What functional group is added to toxins by the smooth endoplasmic reticulum so that they become soluble enough to leave through urine?,HYDROXYL (ACCEPT: ALCOHOL),LOST
Energy,Short Answer,"Scientists at Fermi National Laboratory are using the Dark Energy Spectroscopic Instrument, or DESI, to measure the redshift of millions of galaxies and quasars. What constant of proportionality relates the redshift to the distance of a galaxy?",HUBBLE’S CONSTANT ,Short Answer,"Scientists at Lawrence Livermore National Laboratory are studying human genomics. When using DNA fingerprinting to identify people, what genetic sequences are typically studied to differentiate between individuals, owing to their high mutation rate?",SHORT TANDEM REPEATS (ACCEPT: MICROSATELLITES),LOST
Earth and Space,Short Answer,"When a river’s meander grows too large, the river cuts through the land between the necks of the meander, leaving behind a standing body of water. What is this body of water called?",OXBOW LAKE ,Multiple Choice,Which of the following is not one of Steno’s laws? W) Principle of inclusions X) Principle of cross-cutting relationships Y) Principle of superposition Z) Principle of original horizontality,W) PRINCIPLE OF INCLUSIONS,LOST
Math,Short Answer,What are the last two digits of 11 to the power of 12?,21 ,Short Answer,What is the sum of the positive factors of 120?,360,LOST
Chemistry,Short Answer,"What type of homogeneous mixture consists of one phase dispersed through a continuous phase, causing light to be scattered by the dispersed phase’s particles in the Tyndall effect?",COLLOID ,Short Answer,Order the following three molecules in increasing length of the nitrogen-oxygen bond: 1) Nitrate; 2) Nitric oxide; 3) Nitrogen dioxide.,"2, 3, 1 (ACCEPT: NITRIC OXIDE, NITROGEN DIOXIDE, NITRATE)",LOST
Physics,Multiple Choice,You place an object within the focal length of a single convex lens. Which of the following best describes the object’s image? W) Upright and virtual X) Upright and real Y) Inverted and virtual Z) Inverted and real,W) UPRIGHT AND VIRTUAL ,Short Answer,Arrange the following three statistical values for a Maxwell-Boltzmann distribution in increasing order: 1) Mean; 2) Mode; 3) Median.,"2, 1, 3",LOST
Biology,Multiple Choice,Which of the following types of RNA polymerase predominately transcribes mRNA? W) Type I X) Type II  Y) Type III Z) Type IV,X) TYPE II ,Multiple Choice,Where would one expect to find cells with a high concentration of smooth endoplasmic reticulum? W) Adrenal cortex X) Adrenal medulla Y) Skin Z) Pancreas,W) ADRENAL CORTEX,LOST
