category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Earth and Space,Multiple Choice,Which of the following predictions is most likely to be true regarding the movement of plastics in the ocean? W) A net clockwise ﬂow of plastics in the Southern Paciﬁc X) Congregation of plastics in the center of the Atlantic ocean Y) Decreased rate of plastic inﬂux into the ocean over time Z) Rapid disintegration of most plastic after a few years ,X) Congregation of plastics in the center of the Atlantic ocean,Short Answer,Geostrophic winds are the result of the combination of the pressure gradient force and what other force? ,Coriolis force ,MIT 2020 round 1
Math,Short Answer,A 4-digit number and a 2-digit number add up to a 5-digit number. What is the minimum possible value of the 4-digit number? ,9901,Short Answer,What is the 2020th digit to the right of the decimal point of the fraction 3/7? ,5,MIT 2020 round 1
Energy,Multiple Choice,Researchers in the Sharp group at MIT are studying the properties of miRNA Enhance RNA translation by pairing with mRNA X) Prevent RNA translation by pairing with mRNA Y) Activate ribosomes by pairing with rRNA Z) Act as ribozymes to catalyze production of tRNA ,X) Prevent RNA translation by pairing with mRNA,Multiple Choice,Researchers in the Sharp group at MIT are studying how miRNA acts as a regulatory network. Which of the following types of regulation are miRNAs classiﬁed as? W) Pre-transcriptional regulation X) Post-replication regulation Y) Post-transcriptional regulation Z) Post-translational regulation ,Y) Post-transcriptional regulation,MIT 2020 round 1
Biology,Short Answer,Worldwide vaccination eﬀorts have successfully eradi- cated which human-infecting virus? ,Smallpox,Multiple Choice,Which of the following plant tissue types is most interior in the cross-section of a typical eudicot root? W) Vascular X) Dermal Y) Ground Z) Nervous ,W) Vascular,MIT 2020 round 1
Physics,Short Answer,"By name or number, identify all of the following three quantities that would double if Earth’s gravity were doubled: 1) Time it takes for a pebble to hit the ground when dropped from the top of a building 2) Gravitational potential energy of a pebble at a height h 3) Magnitude of the normal force supporting a stationary object ",2 and 3,Short Answer,"By name or number, identify all of the following four thermodynamic processes that do not increase the entropy of the universe: 1) Reversible isothermal expansion 2) Irreversible isothermal compression 3) Reversible isobaric expansion 4) Irreversible adiabatic compression ",1 and 3,MIT 2020 round 1
Chemistry,Multiple Choice,You have an unknown acid with pKa of 5. What is the pH of a 0.1 molar solution of this acid? W) 1 X) 2 Y) 3 Z) 4 ,Y) 3,Short Answer,"Given that the average carbon-carbon single bond energy is around 350 kilojoules per mole, and that the average carbon-carbon triple bond energy is around 840 kilojoules per mole, calculate the bond energy of a carbon- carbon double bond in kilojoules per mole to one signiﬁcant ﬁgure, assuming that the strength of a carbon-carbon pi bond is the same in the double bond and the triple bond. ",600 kilojoules per mole,MIT 2020 round 1
Physics,Multiple Choice,"If the intensity of the light coming from each of the two slits in Young’s double-slit experiment is I, what will be the intensity of the central bright maximum of the resulting interference pattern? W) I/2 X) I Y) 2I Z) 4I ",Z) 4I,Multiple Choice,"A resistor, an inductor and a charged capacitor are all in series. If the resulting oscillation is underdamped, then which of the following best describes how the energy of the circuit changes with time? W) Does not change with time X) Decreases linearly with time Y) Decreases exponentially with time Z) Decreases as the inverse of time ",Y) Decreases exponentially with time,MIT 2020 round 1
Energy,Short Answer,Researchers in the Van Voorhis group at MIT are working on developing new methods – primarily based on density functional theory – that provide an accurate description of excited electron motion in molecular systems. What equation can be used to describe the wave function of an electron? ,Schrödinger’s Equation,Short Answer,Researchers in the Jarillo-Herrero group at MIT have discovered that rotating adjacent sheets of graphene in a graphene lattice can change the electronic properties of the lattice. What is the main force that holds graphene sheets together? ,Van der Waals (accept: London dispersion) ,MIT 2020 round 1
Earth and Space,Short Answer,What term refers to the depth at which calcareous sediments cannot accumulate because tests dissolve completely before reaching that depth? ,Carbonate Compensation Depth (ACCEPT: CCD),Multiple Choice,The angle of repose describes which of the following? W) The dip angle of a hanging wall face X) The strike angle of a hanging wall face Y) The maximum dip angle of a pile of sediment Z) The minimum strike angle of a pile of sediment ,Y) The maximum dip angle of a pile of sediment,MIT 2020 round 1
Math,Short Answer,"In a simple graph with 4 vertices, what is the maximum number of edges such that no three vertices form a triangle? ",4,Multiple Choice,"Which mathematician famously discovered that to walk all edges in a graph exactly once, there must be exactly zero or two nodes with odd degree? W) Euclid X) Euler Y) Newton Z) Gauss ",X) Euler,MIT 2020 round 1
Chemistry,Multiple Choice,Which of the following reaction orders results in a half life that decreases with time? W) Zeroth order X) First order Y) Second order Z) Third order ,W) Zeroth order,Short Answer,"By name or number, identify all of the following four choices that are examples of network solids: 1) Diamond 2) Quartz 3) Ice 4) Sulfur ",1 and 2,MIT 2020 round 1
Biology,Short Answer,What segments of DNA comprised of the sequence TTAGGG cap the ends of eukaryotic chromosomes? ,Telomeres,Multiple Choice,Which of the following cells does NOT play a role in the humoral immune response? W) Antigen presenting cell X) Helper T cell Y) Cytotoxic T cell Z) Plasma cell ,Y) Cytotoxic T cell,MIT 2020 round 1
Earth and Space,Multiple Choice,Sphalerite is an ore of which of the following elements? W) Tungsten X) Nickel Y) Zinc Z) Tin ,Y) Zinc,Short Answer,"Gabbro is a coarse-grained rock with a maﬁc composition. By name or number, indicate all of the following four statements that are likely true of a specimen of gabbro: 1) Minerals in the rock crystallized slowly 2) The rock likely has relatively high proportions of silica 3) Crystals in the rock are likely easily visible to the naked eye 4) Gabbro likely forms on the surface of the earth near volcanic activity ",1 and 3,MIT 2020 round 1
Physics,Multiple Choice,"A group of objects are released from rest at top of a ramp, rolling towards the bottom. Which of the following objects will take the longest to reach the bottom? W) A thin hoop of mass M X) A spherical shell of mass 2M Y) A solid sphere of mass M Z) A solid cylinder of mass 2M ",W) A thin hoop of mass M,Short Answer,What idealized thermodynamic cycle gives the highest eﬃciency possible by using two reversible isothermal and two reversible adiabatic steps? ,Carnot cycle ,MIT 2020 round 1
Math,Multiple Choice,"If the random variable X is drawn from the standard normal distribution, what is the expectation of X2? W) −1 X) 0 Y) 1 Z) Undeﬁned ",Y) 1,Short Answer,"Find the prime factorization of 15,561, which equals 56−26. ",32 × 7 × 13 × 19,MIT 2020 round 1
Energy,Short Answer,"Researchers at MIT’s Center for Theoretical Physics are studying quantum chromodynamics, which describes the strong interactions between subatomic particles. In quantum chromodynamics, gluons mediate the interactions between what type of particles which are the constituents of protons and neutrons? ",Quarks,Multiple Choice,"Researchers at MIT were part of a team which recently used the Kepler space telescope along with a network of ground-based telescopes to discover an exoplanet with an orbital period of 3.14 days. Given that they know the mass of the star which it orbits, which of the following laws would allow them to determine the size of the planet’s orbit? W) Stefan-Boltzmann law X) Kepler’s ﬁrst law Y) Kepler’s second law Z) Kepler’s third law ",Z) Kepler’s third law,MIT 2020 round 1
Chemistry,Multiple Choice,Which of these compounds is least soluble in water? W) Na2SO4 X) CaKC2H3O2 Z) AgCl ,Z) AgCl,Short Answer,How many electrons can the n = 4 shell hold? ,32 ,MIT 2020 round 1
Biology,Multiple Choice,"Ignoring the investment of ATP, how many ATP molecules are produced per glucose molecule in glycolysis 1 X) 2 Y) 4 Z) 32 ",Y) 4,Short Answer,What is the name for the endogenous opioids produced in the brain? ,Endorphins,MIT 2020 round 1
Chemistry,Short Answer,The permanganate ion is an extremely powerful oxidant and is frequently used in titrations due to its distinct color. What color is the permanganate ion? ,Purple (accept: magenta),Multiple Choice,Which of the following statements is true about the reaction where aqueous carbonic acid decomposes to form carbon dioxide gas and water? W) The equilibrium constant decreases with increasing temperature X) Kc is greater than Kp Y) This reaction causes the pH of the solution to increase Z) High pressures of nitrogen gas above the solution of carbonic acid decelerates the reaction ,Y) This reaction causes the pH of the solution to increase,MIT 2020 round 1
Earth and Space,Multiple Choice,The dominant wind belt in the latitudes between 0 and 30 degrees North tend to come from which cardinal direction? W) North X) Northeast Y) Southeast Z) West ,X) Northeast,Short Answer,What is the term for the distance from a planet within which a gravitationally bound body cannot hold itself together? ,Roche limit ,MIT 2020 round 1
Physics,Short Answer,"By name or number, identify all of the following three quantities that have units of kilogram meters squared per second squared: 1) Mechanical energy 2) Torque 3) Linear momentum ",1 and 2,Short Answer,"Two people stand on the top and bottom of a 100 meter tall building. If the person on top throws a ball upwards at 5 meters per second, and the person on the bottom throws a ball upwards at 30 meters per second, how long in seconds will it take for the two balls to collide? ",4 seconds,MIT 2020 round 1
Biology,Short Answer,"By name or number, arrange the following four ele- ments of the digestive tract in the order that a bolus may encounter them: 1) Colon 2) Ileum 3) Jejunum 4) Pyloric sphincter ","4, 3, 2, 1",Multiple Choice,Which of the following plant hormones is responsible for root response to gravity? W) Gibberellin X) Auxin Y) Abscisic Acid Z) Ethylene ,X) Auxin ,MIT 2020 round 1
Math,Short Answer,"Jane writes the number 3 on a board. Every day, she replaces the number on the board with its factorial. How many times will she need to do this before the number on the board has at least 100 digits? ",3,Short Answer,Simplify the following expression: squared). ,54 + 20 √ 2,MIT 2020 round 1
Energy,Multiple Choice,"Researchers in the Kaiser group at MIT are studying quality control in the ER, which can lead to degradation of misfolded proteins. What protein is commonly attached to proteins to mark them for destruction? W) Viperin X) Ubiquitin Y) Trypsin Z) P53 ",X) Ubiquitin,Multiple Choice,"Researchers in the Baker group at MIT are studying the mechanisms of proteins that catalyze protein unfolding, which often involves large conformational changes. Which technique can be used to actively monitor protein conformational changes? W) Förster Resonance Energy Transfer X) Fluorescence In Situ Hybridization Y) Fluorescence Recovery After Photobleaching Z) Mass Spectrometry ",W) Förster Resonance Energy Transfer,MIT 2020 round 10
Earth and Space,Short Answer,What is the common name for the brightest star in the constellation of Leo? ,Regulus,Short Answer,Star X has apparent magnitude 5 and is located 1000 parsecs from the earth. What is the absolute magnitude of star X? ,−5 ,MIT 2020 round 10
Math,Multiple Choice,Which of the following is a real number? W) ii X) i3 Y) 5 + 2i Z) eiπ/2 ,W) ii,Short Answer,"What is the largest integer less than cosine of i, where i is the square root of −1? ",1,MIT 2020 round 10
Biology,Short Answer,A long-day plant is subjected to 200 ﬂashes of red light after nightfall. How many ﬂashes of far-red light after treatment with all of the red ﬂashes are required to make the plant ﬂower? ,0,Short Answer,"By name or number, identify all of the following 3 hormones which stimulate secretion by the pancreas. 1) Secretin 2) Cholecystokinin 3) Gastric Inhibitory Peptide ","1, 2, 3",MIT 2020 round 10
Physics,Multiple Choice,"Which of the following circuit elements, when placed in an AC circuit, has a low impedance at low frequencies and a high impedence at high frequencies? W) Resistor X) Inductor Y) Capacitor Z) Diode ",X) Inductor,Multiple Choice,"A simple harmonic pendulum has a period of T when oscillating in the air. Ignoring drag, if the density of the pendulum is twice that of water, then when the pendulum is fully submerged in water, what is the period of oscillation? W) T/2 X) T/ √ 2 Y) T √ 2 Z) 2T ",Y) T √ 2,MIT 2020 round 10
Chemistry,Multiple Choice,Which of the following is true about the position of the resulting double bond from reaction of LDA with 2-phenylcyclohexanone at low temperatures? W) The double bond forms between the carbonyl carbon and then alpha carbon further away from the phenyl group X) The double bond forms between the carbonyl carbon and the alpha carbon closer to the phenyl group Y) The double bond forms between the alpha and beta carbons further away from the phenyl group Z) The double bond forms between the alpha and beta carbons closer to the phenyl group ,W) The double bond forms between the carbonyl carbon and then alphacarbon further away from the phenyl group,Multiple Choice,"A 25 meter long tube is evacuated, and two cotton balls are placed on either end. One cotton ball was soaked in ammonia and the other in HCl. After some time, a white precipitate forms. Which of the following is closest to how far from the ammonia cotton ball the precipitate forms? W) 5 meters X) 10 meters Y) 15 meters Z) 20 meters ",Y) 15 meters,MIT 2020 round 10
Energy,Short Answer,"Researchers at MIT and many other universities collab- orated to construct LIGO, which detected the ﬁrst gravitational waves and provided strong evidence for the theory of General Relativity. One of the fundamental ideas in general relativity is that gravity is nothing more than the curvature of spacetime described by the metric tensor. What is the name of the set of equations in general relativity that relate the metric tensor to the stress-energy tensor? ",Einstein Field Equations,Multiple Choice,Researchers at MIT’s Plasma Science and Fusion Cen- ter are using numerical simulations to study the phsyics of plasma to better under- stand the process of fusion in stars. Which of the following is not a property of plasma that needs to be considered? W) Plasma behaves like a ﬂuid and is governed by hydrodynamic equations such as Navier-Stokes X) Plasma particles are charged and generate strong magnetic ﬁelds when they move Y) Thermodynamic interactions between plasma particles cause most plasma ﬂow to eventually become laminar Z) The physical dynamics of plasmas are highly nonlinear making them compu- tationally diﬃcult ,Y) Thermodyamic interactions between plasma particles cause most plasma ﬂow to eventually become laminar,MIT 2020 round 10
Physics,Short Answer,What is the name of the vector which represents the directional energy ﬂux due to electromagnetic radiation? ,Poynting vector,Short Answer,"Planet X has density equal to that of Earth, but radius twice that of Earth. What is the ratio of the gravitational binding energy of planet X to that of Earth? ",32 ,MIT 2020 round 10
Earth and Space,Short Answer,"By name or number, identify all of the following three statements that follow from the cosmological principle: 1) The universe is ﬂat 2) The universe is isotropic 3) The universe is homogeneous ",2 and 3,Short Answer,"By name or number, arrange the following three cosmological events from earliest to latest: 1) Big Bang nucleosynthesis 2) Re-ionization 3) Recombination ","1, 3, 2",MIT 2020 round 10
Biology,Multiple Choice,Which of the following are essential amino acids for humans? W) Alanine X) Cysteine Y) Serine Z) Tryptophan ,Z) Tryptophan,Multiple Choice,Approximately what percentage of the human genome is comprised of LINE-1? W) 10% X) 20% Y) 40% Z) 80% ,X) 20%,MIT 2020 round 10
Chemistry,Short Answer,Many metal-carbonyl complexes are known to be stable. Give the name or formula of the most stable neutral iron-carbonyl complex. ,Fe(CO)5 (accept: iron pentacarbonyl),Short Answer,"By name or number, identify all of the following 3 polymers that you would expect to ﬁnd amide bonds in: 1) Nylon 2) Latex 3) Polystyrene ",1 only ,MIT 2020 round 10
Math,Short Answer,What is the obtuse angle between the hour hand and minute hand of a clock at 3:40 PM? ,130,Short Answer,Find the period of the function f= sin4+ cos4. ,π/2,MIT 2020 round 10
Earth and Space,Multiple Choice,Which of the following is true of inter- stellar reddening? W) It causes spectral lines to shift towards longer wavelengths X) It is caused by preferential scattering of shorter wavelengths of light Y) It occurs only in dark nebulae Z) It is responsible for the decrease in observed magnitude of faraway stars ,X) It is caused by preferential scattering of shorter wavelenghts of light,Short Answer,What is the primary constituent of the atmosphere of Titan? ,Nitrogen,MIT 2020 round 10
Math,Multiple Choice,"In 3-dimensional space, a reﬂection about the x-axis followed by a reﬂection about the y-axis is equivalent to which of the following single operations? W) A reﬂection about the z-axis X) A reﬂection about the xy-plane Y) A 90-degree clockwise rotation about the z-axis Z) Doing nothing ",W) A reﬂection about the z-axis,Short Answer,"Suppose you take a line in three-dimensional space and rotate it around another line. By name or number, identify all of the following four surfaces that can be swept out by the line that is being rotated: 1) plane 2) cylinder 3) double cone 4) hyperboloid ","1, 2, 3, 4 (accept: all)",MIT 2020 round 10
