category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Physics,Short Answer,Identify all of the following three forces that are inertial forces: 1) Centripetal; 2) Coriolis; 3) Centrifugal.,"2, 3 ",Short Answer,"Identify all of the following 3 quantities that, when increased, would increase the separation between fringes from a diffraction grating: 1) Distance between light source and diffraction grating; 2) Distance between diffraction grating and wall; 3) Slit separation.",2 ONLY,NSBA
Biology,Multiple Choice,Which of the following is true regarding both prokaryotic DNA polymerase I and DNA polymerase III? W) They both add primers from the 5’ to the 3’ direction. X) They both replace primers with DNA Nucleotides Y) They both open up the DNA double helix. Z) They both have exonuclease activity,Z) THEY BOTH HAVE EXONUCLEASE ACTIVITY ,Short Answer,Identify all of the following three conditions that are X-linked: 1) Duchenne muscular dystrophy; 2) Red-green color blindness; 3) Hemophilia A.,ALL,NSBA
Math,Short Answer,"If f(x) is a monic quadratic polynomial such that f(1)=1 and f(2)=2, what is the value of f(3)?",5 ,Multiple Choice,Which of the following numbers has the largest sum of factors? W) 150 X) 151 Y) 152 Z) 153,W) 150,NSBA
Earth and Space,Multiple Choice,"Lahars, which are caused by volcanoes, are a type of mass wasting event that belong to which of the following broader types of mass wasting? W) Slump X) Debris Flow Y) Mudflow Z) Creep",Y) MUDFLOW ,Short Answer,Order the following three minerals in terms of increasing average oxidation state of iron. 1) Pyrite; 2) Goethite; 3) Magnetite.,"1, 3, 2",NSBA
Physics,Short Answer,The change in Helmholtz free energy is equivalent to the expansion work done on a system when what variable is held constant?,TEMPERATURE ,Short Answer,A spring with a spring constant of 16 Newtons per meter and 0 rest length lies flat on a frictionless surface. A 1-kilogram block is moving at a speed of 9 meters per second away from the center of the spring when it is 3 meters away from the center of the spring. What is the amplitude of oscillations of the spring and block system?,15/4 (ACCEPT: 3.75),NSBA
Biology,Short Answer,"After a mass-extinction event, what large-scale evolutionary process occurs, in which new species are created that fill different ecological niches?",ADAPTIVE RADIATION ,Multiple Choice,Which of the following best describes the quaternary structure of hemoglobin? W) 2 alpha chains and 2 beta chains X) 3 alpha chains and 1 beta chains Y) 1 alpha chain and 3 beta chains Z) 1 alpha chain and 1 beta chain,W) 2 ALPHA AND 2 BETA CHAINS,NSBA
Math,Short Answer,"What is the dot product of the vectors, 6i + 3j and 4i - 7j?",3 ,Short Answer,"If f’(x)[f prime of x] is strictly decreasing for all x > 0, f(2) = 9, and f(3) = 13, then what is the largest possible integer value of f(1)?",4,NSBA
Earth and Space,Multiple Choice,Which of the following metamorphic facies has the highest grade? W) Blueschist X) Greenschist Y) Zeolite Z) Eclogite,Z) ECLOGITE ,Short Answer,Identify all of the following three solar system bodies that are fully differentiated. 1) Callisto; 2) Jupiter; 3) Mercury.,2 AND 3,NSBA
Chemistry,Short Answer,Order the following three isomers of pentane by increasing enthalpy of combustion: 1) N-pentane; 2) Neopentane; 3) Isopentane.,"1, 3, 2 ",Short Answer,"A particle in a 1D box has zero-point energy of 1 electronvolt. If the mass of the particle and the length of the box are both doubled, what is the energy of the 4th excited state of the particle in electronvolts?",25/8,NSBA
Energy,Multiple Choice,Researchers at Lawrence Berkeley National Lab are using targeted alpha-particle therapy with antibodies to selectively attack cancerous cells and monitoring the results using positron emission tomography. PET-scans employ the use of what halogen attached to glucose as a radiotracer? W) Fluorine X) Chlorine Y) Bromine Z) Iodine,W) FLUORINE ,Short Answer,Researchers at SLAC National Accelerator are creating a new x-ray based accelerator using strings of magnets that wiggle an electron beam. What insertion devices are being used to create this free electron laser?,UNDULATOR,NSBA
Physics,Short Answer,A 5 kg mass is moving at 10 meters per second to the right and collides and sticks to a stationary 3 kg mass. What is the coefficient of restitution of the collision?,0 ,Multiple Choice,Which of the following characterizes an electric field produced purely from static charges? W) Curl-free X) Divergence-free Y) Rotational Z) Radial,W) CURL-FREE,NSBA
Biology,Short Answer,Identify all of the following 3 compounds that are 5 carbon sugars: 1) Dihydroxyacetone; 2) Galactose; 3) Ribulose.,3 ONLY ,Multiple Choice,Which of the following is NOT true regarding miRNA? W) miRNA binds to complementary mRNA sequences. X) miRNA is in the RNA-Induced silencing complex. Y) miRNA is double stranded Z) miRNA is vitally important in the regulation of gene expression.,Y) MIRNA IS DOUBLE STRANDED,NSBA
Math,Short Answer,Evaluate 125 to the power of log25(6).,6 ROOT 6 ,Short Answer,"Find the eigenvalues of the 2x2 matrix with first row 1, 4 and second row 3, 2.",–2 AND 5,NSBA
Earth and Space,Short Answer,What are the SI units of Hubble’s constant?,"HERTZ (ACCEPT: INVERSE SECONDS, 1 OVER SECONDS) ",Multiple Choice,Which of the following best explains why the dust tail of a comet is often more curved than the gas tail? W) The sun’s magnetic field causes the dust tail to accelerate perpendicular to its velocity X) The dust tail spirals due to increased radiation pressure from the sun Y) Dust particles are subject to lensing effects Z) Dust particles individually follow their own orbits,Z) DUST PARTICLES INDIVIDUALLY FOLLOW THEIR OWN ORBITS,NSBA
Chemistry,Multiple Choice,Which of the following indicators would be most suitable for a titration of formic acid with potassium hydroxide? W) Phenolphthalein X) Methyl red Y) Bromothymol blue Z) Bromocrescol green,W) Phenolphthalein ,Short Answer,What equation of state approximates the volume and pressure of a gas as a power series of density?,VIRIAL EQUATION,NSBA
Energy,Short Answer,"Researchers at Lawrence Berkeley National Lab are studying the use of polydiketoenamine for cyclic recycling of plastics. In their research, triketones and amines react, expelling a water molecule and forming a linkage in what general type of reaction?",CONDENSATION (ACCEPT: DEHYDRATION SYNTHESIS) ,Multiple Choice,Researchers at Pacific Northwest National Lab are using AlphaFold2 from Deepmind to study the protein folding process using neural networks. Which of the following types of neural networks would you most likely use for image classification and recognition of a protein? W) Fully connected neural networks X) Recurrent neural networks Y) Convolutional neural networks Z) Generative adversarial networks,Y) CONVOLUTIONAL NEURAL NETWORKS,NSBA
Physics,Short Answer,"A ball is dropped off of the top of a 10 meter cliff. What is the speed of the ball right before it hits the ground, in meters per second?",14 METERS PER SECOND ,Multiple Choice,A toy car goes around a flat curve of radius 8 centimeters at an angular speed of 14 radians per second. What is the minimum coefficient of friction between the tires and the road for the toy car to make the turn? W) 1.6 X) 2.0 Y) 2.4 Z) 2.8,W) 1.6,NSBA
