category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Chemistry,Short Answer,Order the following three gas-phase atoms by in- creasing amount of energy released upon addition of an electron: 1) Fluorine; 2) Chlorine; 3) Bromine. ,"3, 1, 2",Short Answer,Two degenerate orbitals are each filled with one electron. Identify all of the following three values that can be the total spin of the degenerate orbital system: 1) 0; 2) +1 2; 3) +1. ,1 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Earth and Space,Multiple Choice,"The Southern Oscillation Index, a measure of El Ni˜no and La Ni˜na periods, is based on a difference in what quantity across the Southern Pacific?  W) Temperature  X) Humidity  Y) Pressure  Z) Dew point ",Y) Pressure,Short Answer,What type of mass wasting is characterized by material moving as a unit along a curved surface? ,Slump,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Biology,Short Answer,Cardiac muscle cells are connected by what special junctions composed of desmosomes and gap junctions? ,Intercalated discs,Short Answer,Identify all of the following three proteins that are used to distinguish between different flu strains: 1) Hemaglutinin; 2) Gp120; 3) Neuraminidase. ,1 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Physics,Multiple Choice,Which of the following is always true regarding the equivalent capacitance of a group of capacitors in series?  W) The equivalent capacitance is greater than the capacitor with the largest capac- itance  X) The equivalent capacitance is less than the capacitor with the least capacitance  Y) The equivalent capacitance is equal to the capacitor with the largest capacitance  Z) The equivalent capacitance is equal to the capacitor with the least capacitance ,X) The equivalent capacitance is less than the capacitor with the leastcapacitance,Short Answer,"In the scope of comparatively small velocities, the Lorentz factor approaches what value that allows relativistic effects to be ignored? ",1,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Chemistry,Multiple Choice,Which of the following quantities of a substance is independent of temperature?  W) Kinetic energy  X) Potential energy  Y) Molarity  Z) Molality ,Z) Molality,Short Answer,What is the shortest straight-chain alkane that has a structural isomer? ,Butane (ACCEPT: n-Butane),C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Earth and Space,Short Answer,Which relation may be used to measure the distance to spiral galaxies by correlating their rates of rotation with their luminos- ity shifts? ,Tully-Fisher,Multiple Choice,In which of the following regions of a spiral galaxy are most globular clusters found? W) Halo X) Central bulge Y) Nucleus Z) Spiral arms ,W) Halo,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Biology,Short Answer,Leigh syndrome is a disease that is only passed on from the mother to all of the children. What organelle does Leigh syn- drome most likely involve? ,Mitochondria,Short Answer,Identify all of the following three molecules that are products of fermentation: 1) NADH; 2) Lactic acid; 3) Pyruvate. ,2 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Physics,Short Answer,"A bowling ball with mass 2.5 kilograms is moving with speed 2 meters per second towards a 4 kilogram ball that is stationary. If they collide and the bowling ball is now moving in the opposite direction with speed 1.2 meters per second, what is the speed of the second ball in meters per second? ",2,Multiple Choice,The ultraviolet catastrophe was caused by the inaccurate predictions of which of the following laws? W) Planck’s law X) Stefan-Boltzmann law Y) Rayleigh-Jeans law Z) Wien’s displacement law ,Y) Rayleigh-Jeans law,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Chemistry,Short Answer,Order the following three elements by increasing ionization energy: 1) Carbon; 2) Nitrogen; 3) Oxygen. ,"1, 3, 2",Short Answer,Identify all of the following three quantities that must be negative for a spontaneous electrochemical reaction: 1) Gibbs free energy change 2) Equilibrium constant 3) Cell potential. ,1 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Earth and Space,Multiple Choice,"What units are the wet, dry, and environ- mental lapse rates usually given in?  W) Degrees Celsius per kilometer  X) Kilometers per degree Celsius  Y) Degrees Celsius per second  Z) Seconds per degree Celsius ",W) Degrees Celsius per kilometer,Short Answer,Identify all of the following three types of folds in which the oldest rock is found in the center: 1) Anticlines; 2) Domes; 3) Basins. ,1 and 2,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
Biology,Short Answer,"During contraction of the ventricles, blood can sometimes be pushed back through the valves, producing what sounds? ",Heart murmurs,Multiple Choice,"Wolves are extremely territorial and mark their territory to prove it, a form of agonistic behavior. Knowing this, what population dispersion pattern do wolves likely have? W) Uniform X) Random Y) Clumped Z) Clustered ",W) Uniform,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis DE1
