category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Earth and Space,Short Answer,What type of supernova occurs when there is runaway fusion in a secondary white dwarf after enough mass transfer from a giant star?,TYPE IA SUPERNOVA,Multiple Choice,Which of the following air masses is most likely to be present above western Washington in February? W) Maritime tropical X) Maritime polar Y) Continental tropical Z) Continental polar,X) MARITIME POLAR,SBST
Math,Short Answer,How many games need to be played in a single-elimination tournament to declare a winner from 16 teams?,15,Short Answer,Two concentric circles have radii of 5 and 12. What is the area of the region in between the circles?,119π,SBST
Physics,Short Answer,"A car starts accelerating from the top of a 9-meter tall ramp from rest. The ramp makes an angle of 30 degrees with the horizontal. Given that the car accelerates at 1 meter per second squared, how long does it take, in seconds, for the ball to go down the ramp?",6,Short Answer,"A 40-kilogram box is sitting at rest on a 30 degree incline. In newtons, what is the magnitude of the frictional force acting on the block?",196,SBST
Chemistry,Multiple Choice,Which of the following is the electron configuration of the Mg2+ ion? W) 1s22s22p6 X) 1s22s22p63s1 Y) 1s22s22p63s2 Z) 1s22s22p63s23p6,W) 1s22s22p6,Short Answer,Identify all of the following three quantities that are state functions: 1) Volume; 2) Heat; 3) Work.,1 ONLY,SBST
Biology,Short Answer,Identify all of the following four cell junctions that can be found between animal cells: 1) Tight junctions; 2) Desmosomes; 3) Gap junctions; 4) Plasmodesmata.,"1, 2 AND 3",Multiple Choice,Which of the following is NOT an organ that may be used by an amphibian to perform gas exchange? W) Skin X) Lungs Y) Gills Z) Cloaca,Z) CLOACA,SBST
Energy,Short Answer,"Scientists at SLAC National Accelerator Lab are researching efficient methods for synthesizing diamonds via the compression of diamondoids, a class of materials extracted from crude oil. Under high pressure, what element is released from diamondoids, leaving the residual carbon?",HYDROGEN,Short Answer,"Scientists at Fermilab, Brookhaven National Lab, and Lawrence Berkeley National Lab have designed a niobium-tin quadrupole magnet that sets the record for the highest field strength ever recorded for an accelerator focusing magnet. The niobium-tin alloy is a superconductor that expels magnetic fields via what effect?",MEISSNER EFFECT (ACCEPT: MEISSNER-OCHSENFELD EFFECT),SBST
Chemistry,Short Answer,What law of thermodynamics states that the internal energy change of an isolated system is zero?,FIRST LAW OF THERMODYNAMICS,Short Answer,"A vessel containing 3 moles of H2 gas is held at pressure of 2 atmospheres and a volume of 9 liters. If another 3 moles of gas are added, and the container is expanded to a volume of 12 liters, what is the final pressure of the vessel, in atmospheres, assuming constant temperature?",3,SBST
Biology,Multiple Choice,Which of the following is NOT characteristic of eudicots? W) Vascular bundles arranged in a circle X) Taproots Y) Reticular leaf venation Z) Two cotyledons [koh-tuh-LEE-duns],Y) RETICULAR LEAF VENATION,Short Answer,The nuclear lamina is a dense network important for maintaining the structural integrity of the nucleus. What type of cytoskeletal element composes the majority of the nuclear lamina?,INTERMEDIATE FILAMENT,SBST
Earth and Space,Short Answer,What is the name of the primary mechanism of helium-4 fusion in medium-mass stars?,TRIPLE-ALPHA PROCESS,Multiple Choice,"An air parcel in the Northern Hemisphere subsides and creates a high pressure system at the surface. Which of the following best describes airflow in the system? W) Cyclonic, clockwise X) Cyclonic counterclockwise Y) Anticyclonic, clockwise Z) Anticyclonic, counterclockwise","Y) ANTICYCLONIC, CLOCKWISE",SBST
Math,Short Answer,"The point (4, 2) is reflected across the y-axis and then translated 8 units up. What are the final coordinates of the point?","(–4, 10)",Short Answer,"Connor’s drawer contains 3 green socks, 6 red socks, 9 blue socks, and 2 yellow socks. What is the minimum number of socks Connor needs to pull from his drawer to guarantee that he has at least 1 pair of each color?",20,SBST
Physics,Short Answer,A circuit contains a 12-volt battery connected in series with a 3- ohm resistor. What is the power dissipated by the resistor in watts?,48,Multiple Choice,"A 50-kilogram sphere collides head-on in a perfectly elastic collision with a metal plate of mass m. As the value of m approaches infinity, which of the following best describes the behavior of the system after the collision? W) The sphere will stick to the plate and both objects will move at the sphere’s original velocity X) The sphere will stop moving and the plate will move at the sphere’s original velocity Y) The sphere will stick to the plate and stop moving Z) The sphere begin traveling in the opposite direction with the same speed",Z) THE SPHERE WILL BEGIN TRAVELING IN THE OPPOSITE DIRECTION,SBST
