category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
BIOLOGY,Short Answer,What is the most common term used in genetics to describe the observable physical characteristics of an organism caused by the expression of a gene or set of genes?,PHENOTYPE,Short Answer,What is the biological term most often used for the act of a cell engulfing a particle by extending its pseudopodia (read as: SU-doe-POH-dee-ah) around the particle?,PHAGOCYTOSIS,SciBowlDB
CHEMISTRY,Multiple Choice,An aqueous solution in which the concentration of OH- ions is greater than that of H+ ions is: W) basic X) acidic Y) neutral Z) in equilibrium,W) BASIC,Short Answer,"Find the mass of 1 mole of cuprous oxide, or Cu2O. Assume the atomic mass of copper is 64 and oxygen is 16.",144,SciBowlDB
PHYSICS,Short Answer,What property of a sound wave is most commonly associated with loudness?,AMPLITUDE,Short Answer,What is the MOST common term for the behavior of light where it appears to bend around small obstacles or the spreading out of waves as light passes through pinholes or slits?,DIFFRACTION,SciBowlDB
MATH,Short Answer,What term BEST describes 2 angles with 90° as the sum of their measurements?,COMPLEMENTARY,Short Answer,Divide the following and give your answer in scientific notation: `(8 xx 10^7)/((4 xx 10^4)^(1/2))`,`4 xx 10^5`,SciBowlDB
EARTH SCIENCE,Multiple Choice,"The overall charge at the top and bottom, respectively, of a towering cumulonimbus cloud during a thunderstorm is: W) positive, positive X) positive, negative Y) negative, positive Z) negative, negative","X) POSITIVE, NEGATIVE",Multiple Choice,A lightning bolt is seen and its accompanying thunder is heard 15 seconds later. This means the storm is most likely how many miles away: W) 3 X) 6 Y) 9  Z) 15,W) 3,SciBowlDB
GENERAL SCIENCE,Short Answer,How many significant figures are in the number 0.00750?,3,Short Answer,Subtract the following 2 numbers and give your answer with the proper significant figures: 25.101 - 0.9608,24.140,SciBowlDB
ASTRONOMY,Short Answer,What is the proper name of the star that is most commonly noted to have coordinates closest to the north celestial pole?,NORTH STAR (ACCEPT: POLARIS or ALPHA URSA MINORIS),Short Answer,What is the most well-known asterism in Ursa Major?,BIG DIPPER,SciBowlDB
BIOLOGY,Multiple Choice,Human epidermis is mostly composed of which of the following basic animal tissues types: W) epithelial X) connective Y) nervous Z) muscle,W) EPITHELIAL,Short Answer,What are the 2 basic categories of lymphocyte cells?,T AND B (ACCEPT: B AND T CELLS),SciBowlDB
CHEMISTRY,Short Answer,What general type of bonding is found in molecules in which electrons are shared by nuclei?,COVALENT,Short Answer,Name all of the following 4 processes where latent heat is absorbed: evaporation; condensation; water melts; water freezes,EVAPORATION; WATER MELTS,SciBowlDB
PHYSICS,Short Answer,"Although not known as such at the time, what was the first form of spectacular electric discharge seen by humans?",LIGHTNING,Multiple Choice,A constant force acting on a body experiencing no change in its environment will give the body: W) constant acceleration X) constant speed Y) constant velocity Z) zero acceleration,W) CONSTANT ACCELERATION,SciBowlDB
MATH,Short Answer,"Simplify the following expression, where a is not equal to zero if b = 0 or if b = -1: `(a^(b^2))(a^b)`",`a^(b^2+b)`,Short Answer,"Giving your answer in inches and in simplest radical form, if the hypotenuse of a 45-45-90° triangle is 10 inches, find the length of the other sides:",`5sqrt(2)` (ACCEPT: BOTH `5sqrt(2)`),SciBowlDB
EARTH SCIENCE,Multiple Choice,Which of the following is a sedimentary rock: W) slate X) marble Y) basalt Z) sandstone,Z) SANDSTONE,Multiple Choice,Which of the following is LEAST accurate about minerals: W) calcite has a hardness of 3 on most of its surfaces but a hardness of 4 along the crystal face perpendicular to its long axis X) the Moh's scale measures the absolute hardness of minerals Y) a mineral's chemical composition largely determines its crystal shape and cleavage pattern Z) a mineral’s color is the same as its streak,Z) A MINERAL’S COLOR IS THE SAME AS ITS STREAK,SciBowlDB
GENERAL SCIENCE,Multiple Choice,Which of the following is closest to the meaning of the suffix 'lith': W) outside X) stone Y) side Z) surface,X) STONE,Short Answer,"Rounded to the nearest whole number, how many feet does light travel in one-billionth of one second?",1,SciBowlDB
ASTRONOMY,Short Answer,What star has the greatest apparent magnitude?,SUN,Short Answer,What planet is known to be most like Earth in size and density?,VENUS,SciBowlDB
BIOLOGY,Short Answer,How many embryonic seed leaves does a bean seedling have?,2,Short Answer,Name all of the following 5 plants that are dicots: wheat; geranium; garlic; bamboo; rose,GERANIUM; ROSE,SciBowlDB
CHEMISTRY,Multiple Choice,"Which of the following is a metallic element, composes about 5% of the Earth's crust, oxidizes very easily, and when pure is a dark, silver-grey metal: W) cobalt X) nickel Y) iron Z) titanium",Y) IRON,Short Answer,"In general, metals are relatively hard except for what group of metals in the Periodic Table?",ONE (ACCEPT: GROUP 1A or ALKALI METALS),SciBowlDB
PHYSICS,Multiple Choice,Upon which of the following does the mass of a body MOST directly depend: W) its magnetic properties X) how much volume it has Y) the amount of matter it contains Z) its location,Y) THE AMOUNT OF MATTER IT CONTAINS,Multiple Choice,Mary and Joe are on a merry-go-round. Mary is seated near the center of rotation and Joe is on the outer edge. Which of the following BEST describes their motion: W) Mary has a greater acceleration than Joe X) Joe has a greater acceleration than Mary Y) neither Mary nor Joe are accelerating Z) both Mary and Joe have the same acceleration,X) JOE HAS A GREATER ACCELERATION THAN MARY,SciBowlDB
MATH,Short Answer,"Giving your answer in terms of `pi` and in inches, what is the arc-length of a semi-circle whose diameter is 18 inches?",`9pi` (Solution: `C = pid; 1/2(18pi) = 9pi`,Short Answer,"What is the area, in square feet, of a triangle whose perpendicular height is 20 feet with a base of 12 feet?",120,SciBowlDB
EARTH SCIENCE,Multiple Choice,Which of the following terms best describes the albedo of a planet: W) electromagnetic energy X) density Y) reflectivity Z) absorption,Y) REFLECTIVITY,Multiple Choice,Which of the following is NOT true of what occurs during an equinox: W) equal length of day and night except at the poles X) the Earth is not tilted with respect to the ecliptic Y) the Sun is directly overhead at the equator Z) the Moon is directly overhead at the poles,Z) THE MOON IS DIRECTLY OVERHEAD AT THE POLES,SciBowlDB
GENERAL SCIENCE,Short Answer,What gas is most directly responsible for the bends or decompression sickness that divers may experience?,NITROGEN (ACCEPT: N2),Short Answer,"In degrees Celsius to the nearest whole number, what is the normal core body temperature of a human being?",37,SciBowlDB
ASTRONOMY,Short Answer,What is the declination of the north celestial pole?,90 (ACCEPT: +90),Short Answer,The Sagittarius Arm is part of what galaxy?,THE MILKY WAY,SciBowlDB
